names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AAPL,636667629.0,718723514.6,747867382.9,748968116.0,796466198.4,744552003.6,768224360.4,847097392.0,790050098.1,867904100.5,882331517.2,860882486.9,849541996.6,903783195.6,829383854.0,812275705.9,918491838.1,896472365.9,919086618.5,1099436055.0,1073390540.0,1038577806.0,847433174.8,746079125.2,784811203.2,816450732.0,895667436.0,923297720.3,805510200.3,896853698.4,962766107.2,943333633.2,995151566.9,1105306601.0,1187462571.0,1287643210.0,1354254815.0,1196081213.0,1099546654.0,1273427623.0,1378058470.0,1562780947.0,1817315475.0,2206911245.0,2206911245.0,1966078923.0,1850816166.0,2024064528.0,2232278767.0,2215357148.0,2035724521.0,2038232156.0,2193755971.0,2079445699.0,2267638776.0,2411090013.0,2509775104.0,2324390219.0,2457678271.0,2711977424.0
TXN,75236631.36,76592416.8,80377128.8,78888934.32,82186766.76,76292788.81,80569373.82,81995029.98,88417041.48,95293893.09,95885229.69,102681126.0,107823047.5,106519535.1,101990683.0,99291652.74,109550713.4,107423851.5,108224747.4,109274718.0,103520151.3,89167206.69,95910218.55,90771313.5,96707469.24,99287012.04,99578409.93,110548813.0,97864267.86,107250679.4,116711836.2,115535475.0,120862404.7,110294102.3,112369302.8,119570385.3,112449660.8,106570805.9,92083596.33,106525912.1,108976366.0,116252589.3,116828657.2,130201439.6,131029958.4,132725233.8,148018147.5,150893572.0,152474399.9,159006588.2,174483694.6,166705317.2,175303325.7,177509630.1,175982290.2,176250021.1,177489597.2,173142654.5,177658696.6,174146280.0
PG,234416986.8,232818360.4,229699458.5,223356430.6,225300217.3,222896060.1,231890433.5,235289791.8,232000273.7,219040953.7,228300850.4,233095701.0,219040953.7,197949234.1,199865197.1,181906091.7,183993208.8,196289597.9,203380767.1,206475739.1,207172703.6,220938061.4,235462970.1,229010223.4,241327422.6,246530709.0,260289399.0,267086978.4,258132240.3,275038384.5,294875724.0,300891565.6,311277492.5,310504532.1,304394692.7,311477118.8,307743232.9,279616163.2,271639830.0,291804040.4,286976536.6,296012633.5,325138264.0,343900414.7,346032422.8,339953982.6,344342885.2,345012378.8,315714048.0,304189660.3,333493124.7,326638844.0,330139770.0,330335626.0,348212179.6,345767915.2,339478576.8,346028364.5,349876081.8,395855093.8
CAT,55968083.18,56689736.76,54402441.36,60247194.82,62107758.7,63303611.4,67341373.35,69433417.77,73700242.83,80254133.4,83974934.1,93749699.72,96843356.52,92410908.38,88078119.88,86320062.0,90827748.55,81117771.35,85978739.0,82522026.25,90628619.25,71591781.24,80059816.69,74984896.49,78578648.12,79045075.62,77980321.07,79730951.92,68516463.56,77940980.04,75298912.92,66948091.0,71060616.59,76156272.4,79986192.34,81616533.44,72591628.3,68342311.92,63831631.32,62989394.82,65019041.07,68466733.5,71919838.32,77061861.17,80765769.05,85043674.35,94304156.22,98883821.16,99329292.72,117720227.5,126439638.5,124389295.4,132060490.0,119214884.8,113254962.3,115445209.8,105098007.9,111689558.7,104591135.7,111834349.1
ABT,71890806.47,77898149.84,76740391.18,75409832.72,79232519.52,84351571.92,85447446.74,88505346.42,92709958.48,94221533.89,98117678.37,99336099.07,108195758.2,105356330.2,104640333.3,101514395.4,107873657.6,106926936.1,114903941.5,117258682.0,128696841.8,121081597.0,130056458.7,127035565.9,128177182.3,136337201.4,140412211.8,139744753.2,134307099.5,148367622.1,153940365.8,150794397.4,147878190.7,147860606.2,151114565.2,153608088.2,154103255.8,135837244.0,139152498.0,162892936.1,167898767.4,161725498.4,178186139.2,193819919.1,192686779.9,186100408.3,191805015.6,194055915.4,219046219.6,212193743.6,212300035.4,212725202.3,207266053.0,205986742.6,214959683.6,224030884.3,209422872.2,228498383.1,222397456.0,248868712.4
PFE,192548904.2,203077872.6,203724860.5,201997873.9,194850106.6,200459880.0,197893707.0,201734078.1,212320359.3,208514055.9,216135235.8,215896807.5,220784587.3,216148528.2,211115317.1,217777733.5,210175086.0,212222435.9,233573370.0,243394807.2,258343187.7,252422456.6,267231359.3,252317733.8,245381163.8,240670746.8,235785158.4,225458801.1,230510943.6,240504192.6,215632106.2,196628756.4,198730554.6,212226311.8,213174379.4,216826900.0,206090703.3,185402095.4,181074937.0,212807432.0,212139110.5,181643071.8,213750012.3,209994495.2,203937496.0,197158102.4,212942189.1,204604593.6,199546452.3,186794795.2,202096881.7,215596038.6,216798688.6,219205697.0,239637280.1,258300116.2,241143650.9,245236533.1,301579343.9,331439796.4
JNJ,308100249.0,331598136.9,337641598.6,334713835.2,345484082.3,356367167.6,356220480.0,355281080.0,348946840.0,374176440.0,374312831.6,375360574.4,371250198.8,348455311.8,343780316.0,339327133.6,320838783.0,325452081.0,355438518.0,361340405.6,370676396.5,375450100.2,393982568.2,346109260.9,356917632.2,363891313.0,372228897.9,375983406.4,348210594.4,369796199.7,343672196.5,338763347.8,341455297.1,347512378.9,361856081.3,383911168.6,391806784.6,354317280.1,345704837.8,395294633.8,391896006.3,370503094.9,383760280.5,403901376.4,391974688.2,360947970.7,380876321.2,414309617.3,429446739.6,416540632.8,432685395.5,428420410.1,445702273.0,433825657.0,453313400.4,455761608.7,425145843.0,428778668.2,410500850.2,450358368.8
MRK,170914984.6,180850761.8,174453581.3,170879564.9,178086593.2,175296724.9,174722340.2,174168826.4,174632476.6,150249931.9,150579633.0,153304070.0,161422892.3,146187476.0,146861523.8,158520132.1,160153797.1,163301452.8,177210324.5,182416819.8,188666703.5,195767635.3,206313831.8,198694730.2,193545985.7,209827373.8,214680067.4,203313833.3,203937551.2,215883899.4,213669705.6,221395626.3,215532367.5,221882097.5,221958885.1,231557244.8,217528873.0,194176754.6,195140536.9,200340402.6,203745432.7,195188730.3,202533864.2,215668380.1,209800541.0,190224215.6,203389433.3,206956781.2,194989720.4,183751547.9,195062060.4,188508542.0,192157881.6,196918150.7,196918150.7,194639298.5,193118598.8,190131576.3,222887568.8,189218465.0
DIS,175250900.2,174079592.3,179297710.7,182792268.8,168913039.3,166268393.8,172027148.5,156200277.2,152140922.2,150967876.6,158310903.8,162047887.8,163707551.6,155119113.0,151029117.0,150863712.8,147887122.0,155826372.3,168835443.6,166600960.9,173918196.4,170780113.7,171926613.8,163232775.2,166240522.1,168219276.7,199589859.6,246220148.4,237632256.0,251309968.4,257374954.0,247257281.5,234755711.3,234035159.7,273207488.8,260680822.7,249685372.3,212409898.4,174405407.4,195258227.9,211875119.1,201416833.2,211224863.0,238297397.8,224220377.0,219106388.8,267969884.9,328023672.3,305104776.9,343157506.6,334952513.3,337675409.3,324594901.8,319362137.6,319816370.6,329445125.1,307403374.6,307221661.9,263378354.4,281536737.8
WFC,282551280.0,290326080.0,278487462.9,269022328.0,255562842.5,276901390.4,267755193.3,253508671.2,273761566.8,278675872.3,278073018.7,298754914.9,321729980.0,285683310.0,255556034.1,253246908.7,263086467.3,270152134.6,277803105.7,281647691.8,253136160.7,250798468.0,255509204.3,216909803.5,224071383.0,226970663.6,219467120.6,218421079.0,199413998.9,212672310.8,213952836.0,205192403.0,222244037.1,220413633.0,230330891.1,227539514.2,194068736.0,167480384.0,117365722.6,118797011.9,108526947.1,104959948.8,99941496.0,99499135.05,96862304.97,88642125.0,113078301.5,124778908.2,123538561.2,149530650.2,161521006.1,186556555.0,193120483.8,187209475.9,188648521.3,187662982.7,190578534.5,204481404.0,190509992.7,191307439.3
