names,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
AAPL,0.04775,0.13374,0.04869,-7e-05,0.06777,-0.05721,0.0327,0.10714,-0.06024,0.09681,0.02029,-0.01525,-0.01064,0.06813,-0.05805,-0.01502,0.13514,-0.00942,0.02798,0.20043,-0.0083,-0.03048,-0.18119,-0.1167,0.05515,0.04477,0.09703,0.05644,-0.12417,0.13052,0.07639,-0.01643,0.07296,0.11068,0.07752,0.09878,0.05401,-0.11467,-0.06976,0.15537,0.08503,0.14739,0.16513,0.21662,0.21662,-0.10253,-0.06001,0.0955,0.11457,-0.0055,-0.07971,0.00734,0.07622,-0.05051,0.09911,0.06498,0.0425,-0.06804,0.05866,0.10508
TXN,0.04185,0.0143,0.05142,-0.01105,0.0418,-0.0674,0.06438,0.01769,0.08235,0.08561,0.00621,0.07349,0.056,-0.01204,-0.04116,-0.02368,0.10986,-0.01483,0.01535,0.0097,-0.04546,-0.12761,0.07562,-0.05358,0.07343,0.05066,0.00274,0.11087,-0.10894,0.10018,0.09584,-0.01008,0.04436,-0.08007,0.01882,0.06722,-0.05275,-0.05396,-0.1245,0.16151,0.0314,0.06931,0.01158,0.11446,0.0045,0.01967,0.11522,0.01786,0.01572,0.03971,0.09706,-0.03947,0.05158,0.01307,-0.00333,0.00152,0.00681,-0.01863,0.02608,-0.02027
PG,0.05008,0.03961,-0.0134,-0.02057,0.0087,-0.01067,0.05025,0.01597,-0.01398,-0.04386,0.04227,0.021,-0.05311,-0.09057,0.00968,-0.07881,0.01147,0.06683,0.04556,0.02559,0.00338,0.075,0.06574,-0.0274,0.0578,0.02156,0.05581,0.03057,-0.03353,0.06549,0.08347,0.01855,0.03452,0.00745,-0.01968,0.02327,0.00371,-0.0914,-0.02853,0.07864,-0.01654,0.03149,0.10347,0.05499,0.00477,-0.00808,0.01291,0.00194,-0.07299,-0.0365,0.09633,-0.00848,0.01072,0.00059,0.06076,0.00112,-0.01819,0.0292,0.01112,0.13142
CAT,0.04,0.01045,-0.04035,0.11138,0.031,0.01925,0.06812,0.03107,0.06145,0.09539,0.0394,0.1164,0.03773,-0.05007,-0.04689,-0.01551,0.0523,-0.10691,0.06646,-0.03442,0.09824,-0.1992,0.11828,-0.06339,0.05452,0.03139,-0.01347,0.03518,-0.14065,0.13755,-0.02659,-0.09623,0.06143,0.09956,0.05029,0.02038,-0.10438,-0.05413,-0.066,0.01181,0.03222,0.05303,0.05834,0.07097,0.04806,0.0594,0.10532,0.04856,0.00984,0.1807,0.07407,-0.01181,0.05686,-0.09727,-0.0448,0.01993,-0.08963,0.0686,-0.05225,0.06925
ABT,0.09449,0.07924,-0.01486,-0.01136,0.04629,0.06461,0.01726,0.03579,0.04751,0.02123,0.03946,0.01242,0.09436,-0.02944,-0.0068,-0.02526,0.05849,-0.00878,0.0794,0.01984,0.09755,-0.05646,0.07412,-0.02323,0.01372,0.06358,0.02989,-0.00067,-0.04311,0.10469,0.03962,-0.02044,-0.01934,0.0033,0.02201,0.0165,0.00744,-0.11602,0.02441,0.17174,0.03073,-0.03677,0.10491,0.08774,-0.00585,-0.03095,0.02959,0.01174,0.13339,-0.03083,0.0005,0.00571,-0.02856,-0.00617,0.04757,0.04455,-0.06521,0.09526,-0.02421,0.11903
PFE,-0.02309,0.08619,0.00264,-0.00848,-0.02812,0.02879,-0.0128,0.03286,0.05248,-0.01793,0.04363,-0.0011,0.02264,-0.01066,-0.02258,0.03156,-0.00905,0.00974,0.10061,0.04874,0.06142,-0.02292,0.08194,-0.05581,-0.01924,0.0212,-0.0203,-0.0438,0.03147,0.04335,-0.10342,-0.07609,0.01069,0.06791,0.0137,0.01713,-0.03977,-0.10258,-0.02334,0.17525,0.0058,-0.14375,0.1883,-0.01793,-0.02884,-0.03324,0.14051,-0.03915,-0.01411,-0.06713,0.08182,0.0668,0.01204,0.0111,0.10317,0.07615,-0.06642,0.01697,0.23932,0.09901
JNJ,-0.01701,0.08615,0.01915,-0.00867,0.04556,0.0315,0.00325,0.00373,-0.01783,0.0723,0.00551,0.0028,-0.01095,-0.05416,-0.01332,-0.01295,-0.04731,0.01438,0.09214,0.02315,0.02584,0.01317,0.05604,-0.12151,0.03123,0.03354,0.02305,0.01009,-0.06482,0.06199,-0.06505,-0.00696,0.00795,0.02056,0.04849,0.06095,0.02057,-0.09078,-0.02491,0.14421,-0.00166,-0.05459,0.03648,0.05947,-0.02953,-0.07906,0.06262,0.08778,0.03654,-0.02257,0.03717,-0.00986,0.04653,-0.02665,0.04528,0.0114,-0.06717,0.00854,-0.03632,0.09709
MRK,0.053,0.06259,-0.02831,-0.01904,0.0446,-0.00835,-0.00328,-0.00031,0.00979,-0.13962,0.00327,0.02682,0.05296,-0.08489,0.01341,0.08078,0.01121,0.0276,0.08517,0.04129,0.04136,0.03764,0.07784,-0.03,-0.02591,0.09217,0.03003,-0.05363,0.00635,0.06561,-0.01026,0.04193,-0.02,0.02946,0.006,0.05038,-0.06058,-0.10393,0.01295,0.03119,0.01739,-0.03434,0.03763,0.06269,-0.02016,-0.09331,0.06887,0.02577,-0.05782,-0.05774,0.0708,-0.0336,0.01866,0.08534,0.08534,-0.01157,-0.00755,-0.00659,0.17228,-0.14923
DIS,0.0617,-0.00506,0.02998,0.01949,-0.06626,-0.01566,0.04244,-0.07941,-0.02599,-0.00771,0.07167,0.03393,0.01079,-0.0507,-0.02637,-0.0011,-0.00857,0.05368,0.09217,-0.01356,0.04392,-0.01804,0.00575,-0.04311,0.01705,0.01184,-0.01604,0.23363,-0.03599,0.05756,0.03046,-0.04021,-0.05056,-0.00307,0.16672,-0.04011,-0.0437,-0.14937,-0.17892,0.11957,0.0846,-0.04936,0.0487,0.12767,-0.05907,-0.02281,0.2207,0.22411,-0.07181,0.1241,-0.02391,0.00813,-0.03962,-0.01612,0.00142,0.03,-0.06691,-0.00059,-0.14296,0.06894
WFC,0.02214,0.0345,-0.03836,-0.0327,-0.04357,0.0835,-0.02653,-0.04632,0.07989,0.01795,0.01282,0.07438,0.08423,-0.10675,-0.10272,-0.00859,0.04693,0.02686,0.03337,0.02828,-0.10123,0.01275,0.02797,-0.15107,0.07118,0.02004,-0.03147,0.00186,-0.07463,0.06649,0.02303,-0.02744,0.0831,0.02359,0.06478,-0.01212,-0.12751,-0.12049,-0.29743,0.0122,-0.07039,-0.03287,-0.05234,-0.00043,-0.0265,-0.08762,0.28077,0.10347,-0.00994,0.21422,0.08018,0.15306,0.03929,-0.03061,0.01435,-0.00099,0.01554,0.10235,-0.06238,0.00419
